time,open,high,low,close,volume
1/3/2017,8.28,8.51,8.26,8.47,1300330
1/4/2017,8.47,8.56,8.41,8.47,1224340
1/5/2017,8.49,8.53,8.45,8.49,565830
1/6/2017,8.49,8.77,8.49,8.58,2995300
1/9/2017,8.58,8.7,8.58,8.66,886970
1/10/2017,8.66,8.66,8.56,8.6,870950
1/11/2017,8.58,8.62,8.53,8.58,1121780
1/12/2017,8.6,8.66,8.58,8.64,1161780
1/13/2017,8.62,8.75,8.6,8.66,1747710
1/16/2017,8.62,8.75,8.62,8.62,1108470
1/17/2017,8.64,8.7,8.58,8.7,1113850
1/18/2017,8.7,8.75,8.62,8.62,667990
1/19/2017,8.53,8.62,8.51,8.51,620810
1/20/2017,8.53,8.58,8.51,8.51,935820
1/23/2017,8.51,8.51,8.43,8.45,1468570
1/24/2017,8.45,8.53,8.43,8.47,883940
1/25/2017,8.53,8.56,8.49,8.53,581370
2/2/2017,8.62,8.72,8.56,8.72,1000230
2/3/2017,8.75,8.75,8.64,8.66,1166140
2/6/2017,8.68,8.75,8.64,8.68,794960
2/7/2017,8.72,8.85,8.68,8.83,3150060
2/8/2017,8.85,8.87,8.72,8.83,945220
2/9/2017,8.87,8.87,8.77,8.79,742300
2/10/2017,8.79,8.83,8.77,8.79,749990
2/13/2017,8.83,8.98,8.83,8.96,2343770
2/14/2017,8.96,9.02,8.91,8.91,2081730
2/15/2017,8.89,8.98,8.85,8.96,1057850
2/16/2017,9.04,9.06,8.79,8.83,1972960
2/17/2017,8.83,8.89,8.79,8.89,1025850
2/20/2017,8.89,8.96,8.83,8.89,921320
2/21/2017,8.94,8.96,8.85,8.89,1494150
2/22/2017,8.87,9.27,8.83,9.1,4351610
2/23/2017,9.1,9.21,9,9.13,1157830
2/24/2017,9.13,9.13,8.98,9,1136850
2/27/2017,8.94,9.08,8.89,9,1638330
2/28/2017,9.06,9.19,8.96,8.96,1784580
3/1/2017,8.96,8.98,8.81,8.96,1160570
3/2/2017,8.94,9,8.75,8.75,1028090
3/3/2017,8.87,8.89,8.72,8.79,799130
3/6/2017,8.79,8.96,8.79,8.87,890510
3/7/2017,8.83,8.87,8.79,8.87,834030
3/8/2017,8.87,9.04,8.79,8.87,1127560
3/9/2017,8.89,9.15,8.85,9.08,3902000
3/10/2017,9.17,9.21,9.02,9.02,1574500
3/13/2017,9.04,9.06,8.94,9.04,1150100
3/14/2017,9.06,9.13,9.04,9.04,1093080
3/15/2017,9,9.06,8.96,9,1195640
3/16/2017,8.98,9.42,8.98,9.42,6659800
3/17/2017,9.57,9.78,9.46,9.61,9070330
3/20/2017,9.8,9.89,9.67,9.72,3333090
3/21/2017,9.67,9.78,9.61,9.72,3847730
3/22/2017,9.67,9.86,9.53,9.53,5104610
3/23/2017,9.59,9.67,9.51,9.61,2268380
3/24/2017,9.72,9.84,9.65,9.74,2920910
3/27/2017,9.8,10.03,9.78,9.91,5984120
3/28/2017,9.93,10.01,9.82,9.91,2745290
3/29/2017,9.91,9.95,9.8,9.95,2124740
3/30/2017,9.99,10.1,9.95,10.08,2809520
3/31/2017,10.1,10.2,10.01,10.08,2850650
4/3/2017,10.05,10.29,10.03,10.22,3632730
4/4/2017,10.22,10.33,10.01,10.05,4230660
4/5/2017,10.05,10.22,9.72,9.72,6113360
4/7/2017,9.72,9.89,9.61,9.8,2801050
4/10/2017,9.8,10.12,9.67,10.1,3143710
4/11/2017,10.1,10.16,9.97,9.97,2603630
4/12/2017,9.93,9.97,9.7,9.7,2867200
4/13/2017,9.67,9.76,9.51,9.51,2224180
4/14/2017,9.42,9.51,9.25,9.38,4133690
4/17/2017,9.4,9.53,9.23,9.23,2048430
4/18/2017,9.25,9.55,9.21,9.53,3279910
4/19/2017,9.53,9.53,9.4,9.4,1996620
4/20/2017,9.44,9.51,9.38,9.44,1024760
4/21/2017,9.61,9.65,9.44,9.44,2587880
4/24/2017,9.44,9.46,9.29,9.29,1192990
4/25/2017,9.29,9.42,9.25,9.36,852420
4/26/2017,9.4,9.51,9.36,9.46,1465610
4/27/2017,9.46,9.55,9.4,9.4,1153630
4/28/2017,9.34,9.44,9.25,9.25,3439980
5/3/2017,9.29,9.42,9.25,9.36,2112110
5/4/2017,9.44,9.67,9.42,9.55,3247230
5/5/2017,9.55,9.57,9.46,9.51,1392180
5/8/2017,9.55,9.72,9.44,9.72,3767560
5/9/2017,9.8,10.12,9.74,10.05,5663000
5/10/2017,10.27,10.35,9.95,9.95,5146330
5/11/2017,10.01,10.24,9.97,10.01,3995460
5/12/2017,10.14,10.18,9.89,9.93,3418570
5/15/2017,9.93,10.27,9.93,10.14,4504810
5/16/2017,10.31,10.46,10.01,10.01,4042840
5/17/2017,9.97,10.2,9.97,10.18,3230800
5/18/2017,10.12,10.6,10.1,10.35,10303810
5/19/2017,10.44,10.98,10.33,10.98,9441840
5/22/2017,11.15,11.26,10.88,10.88,5328400
5/23/2017,10.79,11.09,10.73,10.73,7999540
5/24/2017,10.82,11.36,10.69,11.07,6557520
5/25/2017,11.32,11.41,11.09,11.09,5746950
5/26/2017,11.11,11.2,10.94,10.98,3615990
5/29/2017,11.11,11.24,10.9,10.9,3751650
5/30/2017,10.9,10.9,10.44,10.46,7680150
5/31/2017,10.46,10.65,10.37,10.48,4782800
6/1/2017,10.54,10.6,10.48,10.52,1888560
6/2/2017,10.54,10.98,10.46,10.9,5519180
6/5/2017,10.94,10.98,10.69,10.69,2811740
6/6/2017,10.75,10.86,10.67,10.82,2952940
6/7/2017,10.9,11.09,10.88,10.92,4110110
6/8/2017,10.98,11.15,10.88,11.01,3599060
6/9/2017,11.07,11.24,11.03,11.09,3427850
6/12/2017,11.15,11.24,11.05,11.11,3962400
6/13/2017,11.11,11.3,11.09,11.24,3306640
6/14/2017,11.36,11.36,11.15,11.2,3100170
6/15/2017,11.2,11.26,11.13,11.15,3162870
6/16/2017,11.15,11.32,11.13,11.24,5066760
6/19/2017,11.36,11.74,11.32,11.7,6069550
6/20/2017,11.87,11.89,11.62,11.64,5364220
6/21/2017,11.58,11.66,11.45,11.58,5752750
6/22/2017,11.68,11.68,11.49,11.55,3594520
6/23/2017,11.62,11.62,11.36,11.53,4040440
6/26/2017,11.53,11.66,11.53,11.6,2680120
6/27/2017,11.62,11.64,11.39,11.39,2752530
6/28/2017,11.39,11.58,11.34,11.58,3526870
6/29/2017,11.62,11.72,11.55,11.62,2457240
6/30/2017,11.64,11.68,11.58,11.68,2278220
7/3/2017,11.83,11.93,11.74,11.81,5285670
7/4/2017,11.85,11.93,11.81,11.93,3945450
7/5/2017,11.93,11.98,11.87,11.96,2157440
7/6/2017,12.12,12.25,12.08,12.08,3921060
7/7/2017,12.06,12.06,11.45,11.62,8004690
7/10/2017,11.62,11.66,11.26,11.26,6248380
7/11/2017,11.26,11.34,11.07,11.32,4365510
7/12/2017,11.41,11.47,11.22,11.24,2688120
7/13/2017,11.22,11.28,11.2,11.26,2098440
7/14/2017,11.3,11.51,11.28,11.32,4038140
7/17/2017,11.36,11.36,10.79,10.86,4984560
7/18/2017,10.82,10.86,10.6,10.67,4271440
7/19/2017,10.79,10.84,10.6,10.65,3402230
7/20/2017,10.6,10.71,10.48,10.69,5627150
7/21/2017,10.86,10.86,10.54,10.73,4105620
7/24/2017,10.56,10.65,10.46,10.46,2785230
7/25/2017,10.46,10.67,10.41,10.67,2942910
7/26/2017,10.71,10.84,10.65,10.82,4324720
7/27/2017,10.82,10.88,10.75,10.79,3620350
7/28/2017,10.77,10.98,10.75,10.92,3213330
7/31/2017,10.94,11.13,10.92,11.11,4547380
8/1/2017,11.17,11.28,10.98,10.98,4487850
8/2/2017,10.94,11.05,10.82,10.88,4390170
8/3/2017,10.9,11.07,10.9,10.96,3366750
8/4/2017,11.07,11.15,11.01,11.15,3367330
8/7/2017,11.26,11.32,11.13,11.13,4241210
8/8/2017,11.15,11.15,10.94,10.98,4126450
8/9/2017,10.94,10.94,10.6,10.67,4776350
8/10/2017,10.56,10.73,10.56,10.65,3161970
8/11/2017,10.67,10.73,10.56,10.58,2820050
8/14/2017,10.58,10.73,10.58,10.69,1485350
8/15/2017,10.77,10.77,10.58,10.63,1489860
8/16/2017,10.58,10.67,10.58,10.63,2517880
8/17/2017,10.67,10.67,10.39,10.39,3983210
8/18/2017,10.35,10.58,10.31,10.5,4147990
8/21/2017,10.5,10.52,10.33,10.33,2181090
8/22/2017,10.33,10.35,10.14,10.14,3569570
8/23/2017,10.18,10.27,10.08,10.27,3220320
8/24/2017,10.22,10.39,10.22,10.29,2527440
8/25/2017,10.37,10.44,10.29,10.41,2255190
8/28/2017,10.44,10.65,10.35,10.63,4638200
8/29/2017,10.65,10.67,10.52,10.52,2728450
8/30/2017,10.52,10.56,10.48,10.5,1662960
8/31/2017,10.48,10.63,10.46,10.58,3062070
9/1/2017,10.58,10.69,10.58,10.65,2119210
9/5/2017,10.6,10.69,10.5,10.6,1729240
9/6/2017,10.6,10.63,10.52,10.56,1730160
9/7/2017,10.56,10.71,10.54,10.58,2018750
9/8/2017,10.6,10.65,10.54,10.54,1520010
9/11/2017,10.5,10.58,10.41,10.44,2314020
9/12/2017,10.44,10.48,10.39,10.44,1704890
9/13/2017,10.48,10.58,10.46,10.58,1778620
9/14/2017,10.65,10.86,10.63,10.75,4068280
9/15/2017,10.75,10.82,10.69,10.82,2947640
9/18/2017,10.84,11.01,10.77,10.9,4147740
9/19/2017,10.94,10.96,10.86,10.9,2288850
9/20/2017,10.92,10.92,10.75,10.77,1488560
9/21/2017,10.77,10.84,10.71,10.71,2634790
9/22/2017,10.77,10.86,10.73,10.77,1799610
9/25/2017,10.82,10.9,10.73,10.73,1957240
9/26/2017,10.79,10.79,10.71,10.73,1600660
9/27/2017,10.73,10.79,10.71,10.73,790510
9/28/2017,10.73,10.79,10.56,10.56,1773660
9/29/2017,10.56,10.65,10.56,10.58,1668120
10/2/2017,10.58,10.67,10.54,10.56,798050
10/3/2017,10.58,10.58,10.44,10.52,1434940
10/4/2017,10.52,10.6,10.48,10.6,1351090
10/5/2017,10.65,10.84,10.6,10.79,3224300
10/6/2017,10.82,10.9,10.77,10.79,2350450
10/9/2017,10.99,11.01,10.88,10.88,3954240
10/10/2017,10.86,10.86,10.75,10.79,2785450
10/11/2017,10.9,10.93,10.82,10.86,3054990
10/12/2017,10.86,10.9,10.71,10.71,2537430
10/13/2017,10.68,10.73,10.64,10.71,1686550
10/16/2017,10.71,10.75,10.68,10.73,1821810
10/17/2017,10.73,10.9,10.71,10.9,2378250
10/18/2017,10.99,11.1,10.93,10.93,7487940
10/19/2017,10.95,10.99,10.77,10.77,2360570
10/20/2017,10.77,10.88,10.68,10.68,2588670
10/23/2017,10.64,10.64,10.38,10.38,4844710
10/24/2017,10.4,10.44,10.27,10.27,3195190
10/25/2017,10.38,10.38,10.27,10.29,1940490
10/26/2017,10.29,10.33,10.02,10.2,3117300
10/27/2017,10.11,10.2,10.07,10.2,1703920
10/30/2017,10.24,10.29,10.05,10.05,2919480
10/31/2017,10.02,10.11,9.94,9.94,2300130
11/1/2017,9.94,9.98,9.63,9.76,4748180
11/2/2017,9.89,10.11,9.85,9.91,4224030
11/3/2017,9.89,10.02,9.89,10.02,1445110
11/6/2017,10.02,10.16,10.02,10.16,1455830
11/7/2017,10.2,10.2,10.07,10.11,1751460
11/8/2017,10.11,10.16,10.07,10.13,1688320
11/9/2017,10.16,10.31,10.16,10.27,2422140
11/10/2017,10.22,10.31,10.18,10.24,1729980
11/13/2017,10.24,10.57,10.18,10.57,3562920
11/14/2017,10.64,10.77,10.44,10.68,2988570
11/15/2017,10.55,10.73,10.55,10.66,2064670
11/16/2017,10.6,10.82,10.55,10.82,3823680
11/17/2017,10.86,10.9,10.66,10.77,3145030
11/20/2017,10.73,10.9,10.71,10.82,2020940
11/21/2017,10.84,11.21,10.84,11.04,7980790
11/22/2017,11.08,11.26,11.04,11.19,4469450
